time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-12T22:05:43.280Z,36.29733333,-98.17833333,7.92,2.62,ml,100,27,0,0.19,ok,ok2021hefo,2021-06-19T21:25:16.040Z,"5 km N of Ames, Oklahoma",earthquake,,0.3,0.24,42,reviewed,ok,ok
2021-04-08T18:33:40.719Z,35.14533333,-95.28966667,6.53,2.53,ml,52,130,0.1574690992,0.21,ok,ok2021gwqn,2021-06-12T21:38:47.040Z,"5 km WNW of Kinta, Oklahoma",earthquake,,0.5,0.17,12,reviewed,ok,ok
2021-04-07T16:51:49.609Z,35.059,-96.31683333,28.64,3.61,ml,71,111,0,0.2,ok,ok2021gurr,2021-06-12T21:38:15.040Z,"7 km WSW of Horntown, Oklahoma",earthquake,,0.5,0.23,30,reviewed,ok,ok
2021-04-07T09:44:38.719Z,35.37766667,-97.92416667,6.41,3.16,ml,99,31,0,0.2,ok,ok2021gudp,2021-06-12T21:38:03.040Z,"2 km SE of Union City, Oklahoma",earthquake,,0.4,0.34,32,reviewed,ok,ok
2021-04-06T06:46:37.329Z,35.36883333,-97.9235,6.81,2.66,ml,67,35,0,0.55,ok,ok2021gscf,2021-06-12T21:37:40.040Z,"3 km SSE of Union City, Oklahoma",earthquake,,1.3,0.26,29,reviewed,ok,ok
2021-04-02T05:26:18.739Z,34.374,-97.44116667,6.28,2.7,ml,71,63,0.02879434957,0.26,ok,ok2021gkro,2021-06-12T21:36:26.040Z,"10 km SE of Ratliff City, Oklahoma",earthquake,,0.5,0.26,25,reviewed,ok,ok
2021-04-01T11:07:44.740Z,34.4105,-97.57416667,14.25,2.69,ml,67,63,0.09538128294,0.31,ok,ok2021gjhh,2021-06-08T17:59:34.040Z,"7 km SW of Ratliff City, Oklahoma",earthquake,,1.2,0.19,27,reviewed,ok,ok
2021-03-27T15:30:24.940Z,35.34866667,-97.9365,7.47,2.5,ml,93,56,0.1070789874,0.21,ok,ok2021gaml,2021-06-08T17:58:49.040Z,"4 km N of Minco, Oklahoma",earthquake,,0.4,0.28,24,reviewed,ok,ok
2021-03-23T20:34:46.950Z,34.385,-97.42883333,5.6,2.65,ml,88,82,0.04229170093,0.26,ok,ok2021ftom,2021-06-02T15:22:26.040Z,"10 km SE of Ratliff City, Oklahoma",earthquake,,0.4,0.23,22,reviewed,ok,ok
2021-03-23T04:13:05.269Z,35.3575,-97.92833333,6.46,2.6,ml,82,35,0.106179164,0.21,ok,ok2021fsic,2021-06-02T15:22:17.040Z,"3 km SSE of Union City, Oklahoma",earthquake,,0.4,0.25,25,reviewed,ok,ok
2021-03-22T02:37:43.000Z,36.11333333,-98.029,5.95,3.25,ml,88,37,0,0.15,ok,ok2021fqjl,2021-06-02T15:24:25.040Z,"11 km W of Hennessey, Oklahoma",earthquake,,0.3,0.22,28,reviewed,ok,ok
2021-03-20T20:05:28.550Z,35.3615,-97.93033333,7.28,2.56,ml,99,56,0.1025798703,0.18,ok,ok2021foba,2021-06-02T15:24:12.040Z,"3 km SSE of Union City, Oklahoma",earthquake,,0.3,0.26,30,reviewed,ok,ok
2021-03-18T00:43:07.809Z,34.316,-97.35616667,6.74,2.54,ml,12,140,0.1079788109,0.24,ok,ok2021fixr,2021-05-26T22:08:44.040Z,"15 km NE of Healdton, Oklahoma",earthquake,,1.1,0.22,4,reviewed,ok,ok
2021-03-17T22:59:49.299Z,36.51533333,-98.33733333,7,2.5,ml,54,95,0.1304743965,0.15,ok,ok2021fiug,2021-05-26T22:08:41.040Z,"6 km WSW of Helena, Oklahoma",earthquake,,0.3,0.27,19,reviewed,ok,ok
2021-03-16T04:17:09.679Z,34.373,-97.42416667,5.88,2.62,ml,96,49,0.0413918775,0.28,ok,ok2021ffns,2021-05-26T22:07:55.040Z,"11 km SE of Ratliff City, Oklahoma",earthquake,,0.5,0.32,28,reviewed,ok,ok
2021-03-14T15:59:21.449Z,36.436,-96.95266667,5.52,2.6,ml,100,47,0,0.24,ok,ok2021fctw,2021-05-26T22:07:15.040Z,"16 km NNE of Morrison, Oklahoma",earthquake,,0.3,0.24,38,reviewed,ok,ok
2021-03-14T11:00:16.739Z,34.98916667,-97.66816667,7,2.8,ml,98,34,0.09268181267,0.34,ok,ok2021fcka,2021-05-26T22:07:06.040Z,"6 km SW of Dibble, Oklahoma",earthquake,,0.5,0.24,35,reviewed,ok,ok
2021-03-10T17:44:19.000Z,34.9965,-97.664,7,2.69,ml,51,84,0.09718092979,0.26,ok,ok2021evph,2021-05-21T19:49:08.040Z,"5 km SW of Dibble, Oklahoma",earthquake,,0.5,0.2,18,reviewed,ok,ok
2021-03-07T19:14:03.890Z,36.96716667,-98.09583333,7,2.65,ml,70,113,0.2168574452,0.15,ok,ok2021eqfu,2021-05-21T19:48:14.040Z,"5 km WSW of Manchester, Oklahoma",earthquake,,0.4,0.2,24,reviewed,ok,ok
2021-03-05T08:26:35.100Z,36.29633333,-98.179,7.83,3.54,ml,101,26,0,0.19,ok,ok2021eltk,2021-05-21T19:46:42.040Z,"5 km N of Ames, Oklahoma",earthquake,,0.3,0.26,39,reviewed,ok,ok
2021-03-02T12:33:55.859Z,34.39616667,-97.41866667,5.13,2.58,ml,74,50,0,0.33,ok,ok2021egpb,2021-05-13T22:40:52.040Z,"10 km SE of Ratliff City, Oklahoma",earthquake,,0.7,0.23,31,reviewed,ok,ok
2021-03-01T23:13:47.399Z,35.12116667,-95.32566667,7.37,2.63,ml,60,169,0.1430719244,0.21,ok,ok2021efor,2021-05-13T22:39:57.040Z,"4 km E of Quinton, Oklahoma",earthquake,,0.5,0.25,11,reviewed,ok,ok
2021-03-01T22:09:12.289Z,34.39983333,-97.42316667,5.43,2.55,ml,43,103,0.05488922886,0.28,ok,ok2021efmn,2021-05-13T22:39:49.040Z,"9 km SE of Ratliff City, Oklahoma",earthquake,,0.6,0.24,9,reviewed,ok,ok
2021-03-01T21:30:34.130Z,35.85333333,-98.19983333,7.14,2.62,ml,99,29,0.1817643316,0.19,ok,ok2021eflg,2021-05-13T22:39:47.040Z,"14 km SSW of Loyal, Oklahoma",earthquake,,0.4,0.23,31,reviewed,ok,ok
2021-03-01T14:24:02.890Z,34.39566667,-97.4245,5.6,2.6,ml,87,48,0.05128993517,0.28,ok,ok2021eexe,2021-05-13T22:39:28.040Z,"9 km SE of Ratliff City, Oklahoma",earthquake,,0.5,0.23,16,reviewed,ok,ok
2021-03-01T10:24:47.899Z,35.8535,-98.19816667,7.41,2.52,ml,98,29,0,0.25,ok,ok2021eeph,2021-05-13T22:39:19.040Z,"14 km SSW of Loyal, Oklahoma",earthquake,,0.6,0.24,43,reviewed,ok,ok
2021-02-28T21:38:38.590Z,36.36316667,-98.15533333,7.22,3.68,ml,81,38,0,0.15,ok,ok2021edqa,2021-05-13T22:38:18.040Z,"3 km SE of Meno, Oklahoma",earthquake,,0.3,0.24,37,reviewed,ok,ok
2021-02-28T12:00:13.089Z,34.39983333,-97.42766667,4.89,2.59,ml,95,51,0.05218975859,0.29,ok,ok2021ecwy,2021-05-13T22:37:36.040Z,"9 km SE of Ratliff City, Oklahoma",earthquake,,0.5,0.26,23,reviewed,ok,ok
2021-02-26T17:22:17.410Z,34.951,-97.66933333,11.24,2.68,ml,92,36,0,0.26,ok,ok2021dzqo,2021-05-13T22:35:37.040Z,"8 km NNE of Bradley, Oklahoma",earthquake,,0.8,0.22,36,reviewed,ok,ok
2021-02-26T15:10:31.960Z,34.3835,-97.4285,5.57,2.82,ml,61,82,0,0.35,ok,ok2021dzmf,2021-05-13T22:35:28.040Z,"10 km SE of Ratliff City, Oklahoma",earthquake,,0.7,0.29,23,reviewed,ok,ok
2021-02-24T23:57:25.460Z,35.66783333,-97.39366667,7.06,2.75,ml,101,39,0,0.17,ok,ok2021dwmp,2021-05-04T14:17:04.040Z,"6 km W of Arcadia, Oklahoma",earthquake,,0.3,0.23,36,reviewed,ok,ok
2021-02-22T05:20:00.040Z,34.39083333,-97.42516667,5.58,2.8,ml,36,83,0.04859046489,0.34,ok,ok2021drks,2021-05-04T14:16:11.040Z,"10 km SE of Ratliff City, Oklahoma",earthquake,,1,0.24,14,reviewed,ok,ok
2021-02-19T13:56:57.950Z,36.96366667,-98.09383333,7,4.2,mwr,98,96,0,0.15,ok,ok2021dmpg,2021-07-05T04:07:12.437Z,"6 km SW of Manchester, Oklahoma",earthquake,,0.3,,39,reviewed,ok,us
2021-02-19T04:08:52.740Z,36.6935,-97.68533333,6.61,2.62,ml,100,52,0,0.18,ok,ok2021dlvw,2021-05-04T14:14:44.040Z,"9 km ESE of Jefferson, Oklahoma",earthquake,,0.4,0.23,40,reviewed,ok,ok
2021-02-17T02:25:43.289Z,34.37816667,-97.42116667,5.85,2.65,ml,95,82,0.04589099462,0.27,ok,ok2021dibl,2021-04-23T21:04:49.040Z,"11 km SE of Ratliff City, Oklahoma",earthquake,,0.5,0.24,22,reviewed,ok,ok
2021-02-13T08:23:42.030Z,34.38566667,-97.41783333,5.25,2.52,ml,64,62,0.05128993517,0.33,ok,ok2021dbfg,2021-04-23T21:04:28.040Z,"Oklahoma",earthquake,,0.8,0.27,25,reviewed,ok,ok
2021-02-10T03:59:03.029Z,36.86633333,-97.45566667,5.27,2.7,ml,90,93,0,0.25,ok,ok2021cvka,2021-04-22T21:52:15.040Z,"6 km N of Nardin, Oklahoma",earthquake,,0.7,0.25,42,reviewed,ok,ok
2021-02-07T21:11:20.539Z,34.36566667,-97.424,5.97,2.67,ml,95,82,0.04049205408,0.3,ok,ok2021crfo,2021-04-22T21:51:11.040Z,"12 km SE of Ratliff City, Oklahoma",earthquake,,0.5,0.18,9,reviewed,ok,ok
2021-02-06T10:01:27.899Z,36.292,-97.52033333,7.28,3.36,ml,100,27,0,0.19,ok,ok2021cony,2021-04-22T21:50:42.040Z,"6 km ESE of Covington, Oklahoma",earthquake,,0.4,0.24,39,reviewed,ok,ok
2021-02-05T17:59:13.750Z,36.28733333,-97.51583333,5,2.58,ml,89,36,0,0.26,ok,ok2021cnif,2021-04-22T21:50:28.040Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.5,0.18,37,reviewed,ok,ok
2021-02-05T17:48:45.719Z,36.289,-97.51583333,6.67,4.2,mwr,89,27,0,0.21,ok,ok2021cnhw,2021-04-22T21:50:27.040Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.4,,36,reviewed,ok,us
2021-02-05T17:29:35.130Z,36.29,-97.51483333,5,2.58,ml,95,27,0,0.24,ok,ok2021cnhg,2021-04-22T21:50:27.040Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.5,0.22,42,reviewed,ok,ok
2021-02-05T16:17:37.100Z,36.28816667,-97.51966667,6.59,3.65,ml,64,52,0.1943618596,0.22,ok,ok2021cnew,2021-04-22T21:50:24.040Z,"6 km WNW of Lucien, Oklahoma",earthquake,,0.5,0.32,7,reviewed,ok,ok
2021-02-05T16:16:56.929Z,36.28483333,-97.5115,6.66,3.52,ml,101,27,0,0.16,ok,ok2021cnev,2021-04-22T21:50:24.040Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.3,0.23,38,reviewed,ok,ok
2021-02-03T20:27:17.039Z,35.11366667,-95.38083333,7.28,2.88,ml,44,94,0,0.19,ok,ok2021cjwc,2021-04-16T19:03:19.040Z,"1 km SW of Quinton, Oklahoma",earthquake,,0.5,0.15,11,reviewed,ok,ok
2021-02-03T02:27:39.880Z,36.35833333,-97.3615,7.92,2.93,ml,79,34,0,0.22,ok,ok2021cimm,2021-04-16T19:03:07.040Z,"10 km NW of Perry, Oklahoma",earthquake,,0.6,0.21,33,reviewed,ok,ok
2021-02-01T19:49:10.560Z,36.28016667,-97.50066667,7.46,2.83,ml,101,27,0,0.19,ok,ok2021cgdv,2021-04-16T19:02:53.040Z,"4 km W of Lucien, Oklahoma",earthquake,,0.4,0.24,36,reviewed,ok,ok
2021-01-25T01:41:31.339Z,36.29683333,-98.17816667,7.95,2.63,ml,101,42,0,0.21,ok,ok2021brzk,2021-04-13T17:07:29.040Z,"5 km N of Ames, Oklahoma",earthquake,,0.4,0.19,34,reviewed,ok,ok
2021-01-16T02:13:36.399Z,36.20783333,-98.40383333,6.95,2.59,ml,96,43,0,0.19,ok,ok2021bboy,2021-03-27T21:04:43.040Z,"6 km WSW of Isabella, Oklahoma",earthquake,,0.4,0.27,35,reviewed,ok,ok
2021-01-01T01:31:14.910Z,35.03466667,-97.8325,9.42,2.76,ml,71,31,0,0.27,ok,ok2021aada,2021-03-13T22:58:26.040Z,"9 km ESE of Chickasha, Oklahoma",earthquake,,1.4,0.2,30,reviewed,ok,ok
2020-12-23T21:28:14.519Z,36.53433333,-98.98366667,6.97,3.11,ml,101,53,0,0.16,ok,ok2020zdwy,2021-03-06T23:18:03.040Z,"10 km NNE of Quinlan, Oklahoma",earthquake,,0.2,0.23,28,reviewed,ok,ok
2020-12-18T15:55:24.820Z,36.40366667,-97.82466667,7,2.54,ml,101,37,0,0.22,ok,ok2020yuip,2021-02-27T23:25:47.040Z,"4 km E of Enid, Oklahoma",earthquake,,0.4,0.21,30,reviewed,ok,ok
2020-12-13T08:32:32.710Z,35.974,-97.2595,6.76,2.63,ml,100,21,0,0.17,ok,ok2020ykqm,2021-02-20T16:11:38.040Z,"2 km NW of Coyle, Oklahoma",earthquake,,0.3,0.24,41,reviewed,ok,ok
2020-12-10T01:01:39.100Z,36.53133333,-98.98683333,7.57,2.63,ml,72,53,0,0.15,ok,ok2020yepc,2021-02-20T16:11:01.040Z,"10 km NNE of Quinlan, Oklahoma",earthquake,,0.2,0.22,33,reviewed,ok,ok
2020-12-10T00:53:25.719Z,36.52983333,-98.98816667,7.88,3.02,ml,73,53,0,0.13,ok,ok2020yeov,2021-02-20T16:11:00.040Z,"9 km NNE of Quinlan, Oklahoma",earthquake,,0.2,0.25,33,reviewed,ok,ok
2020-12-04T21:16:24.039Z,36.20316667,-96.9695,7.83,2.69,ml,100,35,0,0.23,ok,ok2020xvec,2021-02-12T22:39:13.040Z,"4 km SW of Glencoe, Oklahoma",earthquake,,0.4,0.23,32,reviewed,ok,ok
2020-11-26T09:29:26.769Z,36.69966667,-97.67266667,7.46,2.58,ml,99,50,0,0.18,ok,ok2020xfqu,2021-02-06T18:28:18.040Z,"10 km W of Lamont, Oklahoma",earthquake,,0.4,0.23,46,reviewed,ok,ok
2020-11-25T08:47:40.740Z,36.52483333,-98.98816667,8,2.53,ml,12,142,0.04859046489,0.17,ok,ok2020xdty,2021-02-06T18:28:09.040Z,"9 km NNE of Quinlan, Oklahoma",earthquake,,0.6,0.22,6,reviewed,ok,ok
2020-11-25T08:47:35.390Z,36.52583333,-98.99166667,7.84,2.68,ml,16,143,0.04679081805,0.08,ok,ok2020xdtz,2021-02-06T18:28:09.040Z,"9 km NNE of Quinlan, Oklahoma",earthquake,,0.2,0.2,6,reviewed,ok,ok
2020-11-16T19:12:01.730Z,36.7665,-97.82416667,6.28,2.72,ml,67,61,0,0.15,ok,ok2020wocz,2021-01-27T17:29:59.040Z,"",earthquake,,0.3,0.24,33,reviewed,ok,ok
2020-11-12T16:31:10.869Z,36.53566667,-98.97983333,6.67,2.59,ml,101,52,0,0.2,ok,ok2020wgpr,2021-01-27T17:28:49.040Z,"10 km WSW of Waynoka, Oklahoma",earthquake,,0.2,0.24,30,reviewed,ok,ok
2020-11-10T16:01:50.159Z,34.9965,-97.576,6.15,2.53,ml,101,25,0.082783755,0.22,ok,ok2020wcxr,2021-01-23T22:25:42.040Z,"6 km SE of Dibble, Oklahoma",earthquake,,0.4,0.22,38,reviewed,ok,ok
2020-10-30T06:52:11.580Z,36.186,-96.9745,7.87,2.64,ml,56,38,0,0.17,ok,ok2020vida,2021-01-18T23:01:46.040Z,"6 km SW of Glencoe, Oklahoma",earthquake,,0.4,0.26,22,reviewed,ok,ok
2020-10-29T01:03:26.449Z,36.45116667,-98.778,8.09,2.56,ml,62,51,0,0.16,ok,ok2020vfwa,2021-01-18T23:01:39.040Z,"17 km SSE of Waynoka, Oklahoma",earthquake,,0.4,0.26,27,reviewed,ok,ok
2020-10-23T04:08:12.289Z,36.874,-97.44683333,7.56,3.32,ml,96,97,0,0.22,ok,ok2020uvdc,2021-01-09T20:05:20.040Z,"7 km N of Nardin, Oklahoma",earthquake,,0.6,0.2,35,reviewed,ok,ok
2020-10-23T01:17:33.130Z,36.87433333,-97.4485,7.76,3.22,ml,99,96,0,0.24,ok,ok2020uuxm,2021-01-09T20:05:20.040Z,"7 km N of Nardin, Oklahoma",earthquake,,0.7,0.19,36,reviewed,ok,ok
2020-10-22T12:58:34.689Z,36.36716667,-97.34133333,5.2,2.63,ml,99,36,0,0.21,ok,ok2020utzc,2021-01-09T20:05:18.040Z,"9 km NNW of Perry, Oklahoma",earthquake,,0.4,0.24,33,reviewed,ok,ok
2020-10-22T04:37:08.650Z,36.3645,-97.3445,6.95,3.1,ml,91,36,0,0.3508335803,ok,ok2020utio,2021-01-09T20:05:17.040Z,"9 km NNW of Perry, Oklahoma",earthquake,,0.5,0.26,37,reviewed,ok,ok
2020-10-21T14:33:28.399Z,36.2765,-97.49833333,7.31,3.17,ml,92,28,0,0.24,ok,ok2020usgs,2021-01-09T20:05:16.040Z,"3 km W of Lucien, Oklahoma",earthquake,,0.6,0.24,41,reviewed,ok,ok
2020-10-18T22:47:53.009Z,36.2375,-98.43683333,7.31,2.61,ml,100,66,0,0.19,ok,ok2020unkn,2020-12-29T23:07:36.040Z,"5 km SE of Fairview, Oklahoma",earthquake,,0.4,0.23,36,reviewed,ok,ok
2020-10-17T21:37:48.320Z,36.8725,-97.449,7,2.64,ml,101,96,0,0.21,ok,ok2020ulms,2020-12-29T23:07:33.040Z,"7 km N of Nardin, Oklahoma",earthquake,,0.6,0.23,40,reviewed,ok,ok
2020-10-16T12:25:34.039Z,36.36383333,-97.34466667,7.75,2.81,ml,93,36,0,0.24,ok,ok2020uiyz,2020-12-29T23:07:27.040Z,"9 km NNW of Perry, Oklahoma",earthquake,,0.6,0.26,39,reviewed,ok,ok
2020-10-10T21:40:09.390Z,36.35683333,-97.36266667,7.53,2.78,ml,100,34,0,0.22,ok,ok2020tysg,2020-12-19T17:22:44.040Z,"10 km NW of Perry, Oklahoma",earthquake,,0.5,0.22,41,reviewed,ok,ok
2020-09-30T09:45:46.299Z,36.29066667,-97.51566667,7.86,2.53,ml,98,25,0,0.18,ok,ok2020tfnr,2020-12-12T22:28:24.040Z,"5 km WNW of Lucien, Oklahoma",earthquake,,0.6,0.22,35,reviewed,ok,ok
2020-09-30T07:26:00.850Z,36.696,-97.6705,5,2.7,ml,83,51,0,0.23,ok,ok2020tfjb,2020-12-12T22:28:24.040Z,"10 km W of Lamont, Oklahoma",earthquake,,0.5,0.27,34,reviewed,ok,ok
2020-09-27T02:20:00.310Z,35.95066667,-97.76416667,6.45,2.92,ml,100,25,0,0.14,ok,ok2020szml,2020-12-05T21:03:00.040Z,"13 km ESE of Dover, Oklahoma",earthquake,,0.3,0.25,42,reviewed,ok,ok
2020-09-20T22:07:01.570Z,35.58916667,-97.39283333,6.81,2.78,ml,97,23,0,0.15,ok,ok2020sofc,2020-11-28T21:31:59.040Z,"7 km NE of Lake Aluma, Oklahoma",earthquake,,0.2,0.26,42,reviewed,ok,ok
2020-09-20T10:54:54.000Z,36.12883333,-97.59216667,7.17,3.4,ml,68,28,0,0.23,ok,ok2020snix,2020-11-28T21:31:57.040Z,"4 km SE of Marshall, Oklahoma",earthquake,,0.5,0.19,27,reviewed,ok,ok
2020-09-16T09:27:34.219Z,36.27633333,-98.24083333,7.72,2.97,ml,91,27,0,0.16,ok,ok2020sfya,2020-11-28T21:31:45.040Z,"6 km NW of Ames, Oklahoma",earthquake,,0.3,0.27,36,reviewed,ok,ok
2020-09-06T11:08:14.710Z,34.745,-97.573,7,3.43,ml,100,49,0,0.22,ok,ok2020rnuh,2020-11-17T19:44:45.040Z,"7 km SSE of Erin Springs, Oklahoma",earthquake,,0.5,0.31,38,reviewed,ok,ok
2020-08-31T15:39:41.229Z,36.36433333,-98.155,7.74,2.91,ml,85,67,0,0.15,ok,ok2020rdeg,2020-11-07T18:48:40.040Z,"3 km SE of Meno, Oklahoma",earthquake,,0.3,0.29,34,reviewed,ok,ok
2020-08-31T15:18:24.660Z,36.36166667,-98.1515,6.69,3.5,ml,101,55,0,0.17,ok,ok2020rddo,2020-11-07T18:48:39.040Z,"3 km SE of Meno, Oklahoma",earthquake,,0.3,0.27,39,reviewed,ok,ok
2020-08-25T17:45:05.139Z,36.8735,-97.45233333,7,2.69,ml,101,95,0,0.22,ok,ok2020qsjj,2020-10-31T19:06:27.040Z,"7 km N of Nardin, Oklahoma",earthquake,,0.6,0.23,38,reviewed,ok,ok
2020-08-21T03:39:33.240Z,34.86416667,-98.42783333,17.82,2.83,ml,52,73,0.188962919,0.43,ok,ok2020qjzl,2020-10-31T19:06:13.040Z,"6 km WSW of Apache, Oklahoma",earthquake,,3.3,0.23,24,reviewed,ok,ok
2020-08-16T03:55:59.310Z,36.15216667,-97.672,5.78,2.66,ml,98,29,0,0.16,ok,ok2020qawm,2020-10-24T20:08:55.040Z,"4 km W of Marshall, Oklahoma",earthquake,,0.3,0.29,42,reviewed,ok,ok
